Codice,Autore,Titolo,Editore,Anno,Luogo,Pagine,Classificazione
L177,George Orwell,1984,Mondadori,,,0,Romanzo
L24,Ilaria Beltramme,101 cose da fare a Roma almeno una volta nella vita,Newton Compton,,,0,Attualita
L119,Trilussa,I Sonetti,Mondadori,1922,,0,Poesia
L19,Ilaria Beltramme,101 perchè sulla storia di Roma che non puoi non sapere,Newton Compton,,,0,Attualita
L474,Laura Rangoni,500 ricette di piatti unici,Newton Compton,,,0,Cucina
L110,Claudio Giorlandino,A cavallo della luna. La storia di Pino,Tullio Pironti,,,0,Romanzo
L387,Umberto Eco,Il Fascismo Eterno,La nave di Teseo,2018,Milano,50,Saggi
L47,Caroline Taggart,A Classical Education: The Stuff You Wish You'd Been Taught At School,Michael O'Mara,,,0,Lingue
L33,Danielle Steel,A Good Woman,Corgi,,,0,Romanzo
L375,Khaled Hosseini,A Thousand Splendid Suns,Riverhead Books,,,0,Romanzo
L333,Jonathan Coe,A Touch of Love,Penguin,,,0,Romanzo
L366,Patrick Weiller,Il Giudizio di Salomone,ElectaStorie,,,0,Romanzo
L558,Nigel Rees,"A Word in Your Shell-Like: 6,000 Curious & Everyday Phrases Explained",HarperCollins UK,,,0,Lingue
L32,Giuseppe Mazzini,Pensieri sulla democrazia in Europa,Feltrinelli,,,0,Politica
L384,"Andrea Camilleri, Carlo Lucarelli",Acqua in bocca,Fastbook,,,0,Romanzo
L106,Gianrico Carofiglio,Ad occhi chiusi,Sellerio Editore Palermo,,,0,Romanzo
L487,Agatha Christie,"Addio, miss Marple",Mondadori,,,0,Gialli
L664,"Davide Vasta, Marco Andrea De",Adobe Dreamweaver CS4,Apogeo,,,0,Informatica
L663,"Marco Feo, Andrea Rotondo",Adobe Flash CS4. Creare e gestire animazioni e siti web interattivi e dinamici,Apogeo,,,0,Informatica
L662,vuoto,Adobe Photoshop CS4. Lavorare con creativit? su fotografie e immagini digitali,Apogeo,,,0,Informatica
L349,Edimatica,Adobe Photoshop CS5. Lavorare con creativit? su fotografie e immagini digitali,Apogeo,,,0,Informatica
L313,"Nunzio Trotta, Domenico Belardo",Adobe Premiere Pro CS5. Guida all'uso,FAG,,,0,Video
L550,Martin Hewings,Advanced Grammar in Use With CD ROM,Cambridge University Press,,,0,Lingue
L566,"Richard Du Toit, Gerald Hinde, William Taylor",Africa's Big Five,Struik Publishers,,,0,Animali
L660,vuoto,AJAX - Guida per lo sviluppatore,Hoepli,,,0,Informatica
